product_name,store,id,stars,title,feedback,date
Cloud Cam,Store_A,1,2,App crashes constantly,The app crashes every time I try to view the live feed. It's frustrating and makes the camera useless. Please fix this issue ASAP.,2/3/2024 14:32
Cloud Cam,Store_B,2,1,Cannot connect to camera,"I've been trying to connect to my camera through the app for hours, but it keeps failing. The app is not user-friendly at all. Disappointed with this product.",5/3/2024 9:15
Cloud Cam,Store_C,3,3,Laggy video feed,"While the app manages to connect to the camera, the video feed is extremely laggy and stutters constantly. It's hard to make out any details in the footage.",7/3/2024 19:45
Cloud Cam,Store_D,4,2,App drains phone battery,"Ever since I installed this app, my phone's battery drains incredibly fast. It's not practical to use the app if it means I can't use my phone for the rest of the day.",10/3/2024 8:22
Cloud Cam,Store_E,5,1,Live feed not working,"The live feed feature in the app hasn't been working for days. I can't monitor my home in real-time, which defeats the purpose of having a security camera.",12/3/2024 16:59
Cloud Cam,Store_A,6,2,Poor app performance,"The app is slow, unresponsive, and crashes frequently. It's a hassle to use and makes me regret purchasing this camera.",15/3/2024 11:43
Cloud Cam,Store_B,7,1,App update broke features,"After the latest app update, I can no longer access my camera's settings or view recorded footage. The update has rendered the app useless.",19/3/2024 20:07
Cloud Cam,Store_C,8,3,Inconsistent notifications,"The app sends notifications for motion detection inconsistently. Sometimes I receive alerts, other times I don't, even when there's clearly movement on the camera.",22/3/2024 13:26
Cloud Cam,Store_D,9,2,Difficult to navigate app,"The app's interface is confusing and difficult to navigate. It takes too long to find the features I need, and the layout is not intuitive.",25/3/2024 18:09
Cloud Cam,Store_E,10,1,App won't stay logged in,"The app logs me out every time I close it, forcing me to enter my credentials each time I want to view my camera. It's annoying and wastes my time.",28/3/2024 7:51
Cloud Cam,Store_A,11,2,Glitchy live stream,The live stream in the app is constantly glitching and freezing. It's impossible to get a clear view of what's happening on the camera.,1/3/2024 12:14
Cloud Cam,Store_B,12,1,App doesn't load,"Half the time, the app doesn't even load. It gets stuck on the loading screen, and I have to force close it and try again.",3/3/2024 17:38
Cloud Cam,Store_C,13,3,Poor video quality in app,"Even when the live feed works, the video quality in the app is terrible. The footage is pixelated and blurry, making it hard to see details.",6/3/2024 8:52
